 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0 
 0, FLOOR, 0, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, 0, FLOOR, 0, 0, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0 
 0, FLOOR, 0, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, 0, FLOOR, 0, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0 
 0, FLOOR, 0, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, 0, 0, 0, FLOOR, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0, FLOOR, FLOOR, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, FLOOR, 0, 0, FLOOR, 0, FLOOR, FLOOR, 0, 0, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, 0, 0 
 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, 0, FLOOR, 0, 0, 0, FLOOR, 0, 0, FLOOR, FLOOR, FLOOR, 0, 0, 0 
 0, 0, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, 0, FLOOR, 0, 0, 0, FLOOR, 0, 0, FLOOR, FLOOR, FLOOR, 0, 0, 0 
 0, 0, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, FLOOR, 0, 0, 0, FLOOR, 0, 0, 0, FLOOR, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, FLOOR, 0, 0, FLOOR, FLOOR, FLOOR, 0, FLOOR, FLOOR, FLOOR, 0, 0, FLOOR, FLOOR, 0, 0, FLOOR, 0, FLOOR, FLOOR, 0, 0, 0, FLOOR, FLOOR, FLOOR, 0, 0, FLOOR, 0, 0, FLOOR, FLOOR, FLOOR, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0 
 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0 
 0, 0, 0, TRAP, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0 
 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, TRAP, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, TRAP, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, TRAP, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, 0, 0 
 0, 0, 0, TRAP, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, TRAP, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, TRAP, 0, 0, 0, TRAP, TRAP, TRAP, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, TRAP, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
